Subject,Predicate,Object
http://dbpedia.org/resource/Arab_Federation,http://www.w3.org/2002/07/owl#sameAs,http://pl.dbpedia.org/resource/Federacja_Arabska
http://dbpedia.org/resource/Arab_Federation,http://www.w3.org/2002/07/owl#sameAs,http://pt.dbpedia.org/resource/Federação_Árabe_do_Iraque_e_Jordânia
http://dbpedia.org/resource/Arab_Federation,http://www.w3.org/2002/07/owl#sameAs,http://wikidata.dbpedia.org/resource/Q146713
http://dbpedia.org/resource/Arab_Federation,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m.096_qj
http://dbpedia.org/resource/Arab_Federation,http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/Arab_Federation
http://dbpedia.org/resource/Arab_Federation,http://www.w3.org/ns/prov#wasDerivedFrom,http://en.wikipedia.org/wiki/Arab_Federation?oldid=706172840
http://dbpedia.org/resource/Arab_Federation,http://dbpedia.org/ontology/abstract,"الاتحاد العربي ويعرف أيضا بالاتحاد الهاشمي، هو اتحاد غير اندماجي كونفدرالي أعلن عنه رسمياً في 14 فبراير/شباط 1958 بين المملكة العراقية والمملكة الأردنية الهاشمية. ينص دستور الاتحاد على أن الاتحاد يتكون من ""المملكة العراقية والمملكة الأردنية الهاشمية وعضويته مفتوحة لكل دولة عربية ترغب في الانضمام إليه بالإتفاق مع حكومة الاتحاد""، وعلى احتفاظ ""كل دولة من أعضاء الإتحاد بشخصيتها الدولية المستقلة وبنظام الحكم القائم فيها"". ينص الدستور كذلك على أن ملك العراق هو رئيس الاتحاد وأن مقر حكومة الاتحاد يكون بصفة دورية ستة أشهر في بغداد وستة أشهر في عمّان. في 17 شباط/فبراير تمت المصادقة على الاتفاقية من قبل مجلسي الأعيان والنواب العراقيين. في 19 مايو/أيار 1958، شكلت أول حكومة للاتحاد وكانت تركيبتها كما يلي: نوري السعيد ـ رئيساً للوزراء. إبراهيم هاشم ـ نائباً لرئيس الوزراء. توفيق السويدي ـ وزيراً للخارجية.  خلوصي الخيري ـ وزير دولة للشؤون الخارجية. سليمان طوقان ـ وزيراً للدفاع. سامي فتاح ـ وزير دولة لشؤون الدفاع. عبد الكريم الأزري ـ وزيراً للمالية.إستراتيجياً جاء الاتحاد كردٍ على قيام الجمهورية العربية المتحدة بين مصر وسوريا في 1 فبراير/شباط، والمخالفة إيديولوجياً للمملكتين. انتهت الوحدة فعلياً في 14 يوليو/تموز مع الإطاحة بالملكية في العراق. أعلن عبد الكريم قاسم رئيس الوزراء الجديد في 16 يوليو حل الاتحاد واصفا إياه بأنه ""لم يكن اتحادا حقيقيا يستهدف مصلحة الشعب في القطرين، وإنما كان لتدعيم النظام الملكي الفاسد ولتمزيق وحدة صف العربي المتحرر، ولتحقيق مصالح زمرة من الحاكمين لم يأتوا الحكم عن طريق الشعب"". وقد كان الملك حسين قد تولى رئاسة الاتحاد وقيادة القوات المسلحة في 14 يوليو بعد مقتل الملك فيصل، إلا أن ذلك لم يكن له أي فاعلية عملياً."
http://dbpedia.org/resource/Arab_Federation,http://dbpedia.org/ontology/abstract,"La Fédération arabe d'Irak et de Jordanie était une fédération formée en 1958 par l'union de l'Irak et de la Jordanie, qui n'exista que l'espace de quelques mois."
http://dbpedia.org/resource/Arab_Federation,http://dbpedia.org/ontology/abstract,"La Federación Árabe de Irak y Jordania fue un país de corta duración que se formó en 1958 de la unión de Irak y Jordania. Aunque el nombre implica una estructura federal, era de facto una confederación. La Federación se constituyó el 14 de febrero de 1958, cuando el rey Faisal II de Irak y su primo, rey Hussein de Jordania, unieron sus dos reinos hachemitas, como respuesta a la formación de la República Árabe Unida. El nuevo Estado garantizaría amplia autonomía para Irak y Jordania, y estaría dirigido nominalmente por el rey iraquí, al ser el de mayor edad. Seis meses más tarde, el 14 de julio de 1958, una revuelta militar declaró la independencia de la República de Irak de la Federación, quedando reducido el territorio al de la Jordania anterior a febrero de 1958. Tras el asesinato del jefe del Estado, el rey Faisal, en dicha revuelta, su primo Hussein, rey de Jordania, asumió la jefatura de la Federación. El 2 de agosto de 1958, constatada la imposibilidad de restaurar la soberanía sobre Irak, se cambia el nombre de Federación Árabe de Irak y Jordania a ""Reino Hachemita de Jordania"", que es como se conoce actualmente el país."
http://dbpedia.org/resource/Arab_Federation,http://dbpedia.org/ontology/abstract,"Die Arabische Föderation von Irak und Jordanien (kurz Arabische Föderation; arabisch , DMG al-Ittiḥād al-ʿarabī) war ein nur fünfmonatiger Zusammenschluss der Königreiche Irak und Jordanien vom 14. Februar bis zum 15. Juli 1958. Obwohl sich der Staat offiziell Union (Einheitsstaat) nannte und international meist als Föderation (Bundesstaat) bezeichnet wurde, war er de facto eine Konföderation (Staatenbund). Der haschimitische irakische König Faisal II. und sein jordanischer Cousin Hussein I., welcher ebenfalls haschimitischer Herkunft war, gründeten die Föderation als Reaktion auf die am 1. Februar 1958 gegründete Vereinigte Arabische Republik. Während die Vereinigte Arabische Republik sich eher an der Sowjetunion orientierte, war die Arabische Föderation an guten Beziehungen zur ehemaligen Kolonialmacht Großbritannien und zu den USA interessiert. Während Irak 1955 dem Bagdad-Pakt beigetreten war, hatte der Druck der übrigen arabischen Welt Jordanien davon zunächst abgehalten. Die Föderation band nun auch Jordanien faktisch an den Pakt, denn aus dem irakischen ebenso wie aus dem jordanischen Kabinett wurden die Ressorts Außenpolitik und Verteidigung ausgegliedert und der Föderationsregierung übertragen. Der Föderationsregierung stand jedoch der irakische Ministerpräsident vor. Am 3. März 1958 trat der bisherige Ministerpräsident Abdel Wahab Mirjan zurück und sein Nachfolger wurde Nuri as-Said, der am 16. Mai 1958 vom irakischen König mit der Regierungsbildung beauftragt wurde. Die Arabische Föderation bestand jedoch nur sechs Monate. Nach Qasims Militärputsch gegen Faisal II. vom 14. Juli wurden schon am 15. Juli 1958 alle Föderationsorgane von den Putschisten aufgelöst. Nach dem Putsch wurden König Faisal II, Kronprinz Abdallah und der Ministerpräsident Nuri As Said getötet und die Republik Irak ausgerufen, die anschließend von der Vereinigten Arabischen Republik anerkannt wurde. Am 23. Juli erklärte Irak offiziell seinen Austritt aus der Föderation, am 2. August 1958 verfügte auch Jordaniens König Hussein offiziell das Ende der Föderation."
